Lake-link,Space,SpaceSpec,MaxDeep,AvrDeep,Long,Wide,Latitude,Longitude
https://www.wassertemperatur.org/oesterreich/pressegger-see/,55.0,ha,,,,,,
https://www.wassertemperatur.org/bodensee/radolfzell/,,,,,,,,
https://www.wassertemperatur.org/ratzeburger-see/,,,,,,,,
https://www.wassertemperatur.org/oesterreich/rauschelesee/,19.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/riedsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/riegsee/,,,,,,,,
https://www.wassertemperatur.org/rothsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/rottachsee/,3.13,km²,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/rursee/,7.83,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/sarnersee/,7.5,km²,,,,,,
https://www.wassertemperatur.org/schaalsee/,23.5,km²,,,,,,
https://www.wassertemperatur.org/schierensee/,,,,,,,,
https://www.wassertemperatur.org/schliersee/,2.22,km²,,,,,,
https://www.wassertemperatur.org/schluchsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/schluechtsee/,6.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/schwansee/,17.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/schwarzsee/,47.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/seealpsee/,14.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/sempachersee/,14.5,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/sihlsee/,10.7,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/silsersee/,4.1,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/silvaplanersee/,3.2,km²,,,,,,
https://www.wassertemperatur.org/simssee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/singliser-see/,74.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/sonnegger-see/,2.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/sorpesee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/spitzingsee/,28.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/st-leoner-see/,,,,,,,,
https://www.wassertemperatur.org/staffelsee/,,,,,,,,
https://www.wassertemperatur.org/starnberger-see/,56.36,km²,,,,,47.9525,11.3395
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/steeger-see/,4.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/steinberger-see/,184.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/steinbrunner-see/,5.2,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/steinsee/,,,,,,,,
